,フェイクニュースURL,フェイクニュースの媒体,フェイクニュース本文,フェイクニュース作成日付,話題の分野,いいね数,RT（含む引用）,DBへのデータ登録日,フェイクニュースの発信国,評価記事のURL,評価記事の本文,評価記事の日付,判定,判定の根拠①,判定の根拠②,判定の根拠③,評価記事作成国
1,削除済み,Line,"新型コロナウィルスは、感染されても何日も症状が出ない場合があります。では、自身が感染されたかどうか、どう分かるのでしょう。咳と熱の症状が出て、病院に行った時は大体50%は肺が繊維化されていると考えられます。即ち、症状が出て受診すると遅れるケースが多いのです。
台湾の専門家は、毎朝、自身でチェックできる簡単な診療を提示してます。
深く息を吸って、10秒我慢する。咳が出たり、息切れる等、すごく不便なことがなければ、肺が繊維症状になってない、即ち、感染されてないということです。(注:新型コロナで悪化すると、肺胞の組織が繊維化して硬くなっていくようです。）
現在、既に大変な事態になってるので、毎朝、良い空気を吸いながら、自己診断をしてみてください。
また、日本のお医者さんは、とても有効なアドバイスをしてくれています。皆んな、常に、口と喉を濡らして、絶対に乾燥した状態におかないこと。15分毎に水を一口飲むのが良いそうです。ウィルスが口に入ったとしても、水とか他の飲み物によって、食道から胃に入ってしまえば、胃酸によりウィルスは死んでしまう。水分をよく取らない場合、ウィルスが気管支から肺に侵入してしまうので、とても危ないのです。",不明,医療・健康,,,2022/10/3,日本,https://www.buzzfeed.com/jp/yutochiba/hold-your-breath-for-10-seconds-myth,"新型コロナウイルスに感染しているかどうか見分ける方法として、「深く息を吸って、10秒我慢する」というセルフチェックが台湾の専門家によって提示されているという情報が拡散している。
この情報は誤りだ。BuzzFeed Newsは米国国立研究機関博士研究員として免疫学やウイルス学を専門とする峰宗太郎医師の協力を得て、ファクトチェックを実施した。
峰医師は「息を止められるかどうかということと肺炎をふくむ気道炎症性疾患を発症しているかどうかは特に関するものではないといえます」としている。",2020/4/27,誤り,https://www.yomiuri.co.jp/national/20200412-OYT1T50078/,,,日本
2,https://twitter.com/hatoyamayukio/status/1547125398882119680?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,白澤卓二先生のお話を聞いて驚愕した。WHOがワクチンを打った人の方が打たない人より３倍入院する確率が高いことを認めたとのこと。ファイザーは大量のデータを消したとの内部告発も発表された。今までワクチン利権は聞いていたが、陰謀論と切り捨てられるようなものではないことが明らかになった。,2022/7/13,医療・健康,51000,27000,2022/9/30,日本,https://www.buzzfeed.com/jp/kotahatachi/yukio-hatoyama-fc,"「ワクチンを打つと入院確率が3倍になるとWHOが認めた」鳩山元首相のツイートを専門家が否定。河野太郎氏は「ワクチンデマ」と批判
拡散しているのは鳩山由紀夫・元首相のツイート。しかしWHOはこうした発表を一切しておらず、イギリスからの報告などでは、むしろ、3回目接種においては「打った人のほうが打たない人よりも3倍以上入院する確率が『低い』」ことが明らかになっている。",2022/8/12,誤り,日米の専門家でつくるプロジェクト「こびナビ」はBuzzFeed Newsの取材に対し、まず「入院確率が3倍になる」という言説について「鳩山氏のツイート内容のような事実は認知しておりません」と回答。「英国からの報告では、ワクチンの入院予防効果は、3回目接種から105日以降で、18～64歳で70%程度、65歳以上で80%強であることが明らかになっています。つまり、『うった人の方がうたない人より3倍以上入院する確率が低い』のが事実です」,,,日本
3,https://www.kantei.go.jp/jp/99_suga/actions/202107/08corona.html,Website,"令和３年７月８日、菅総理は、総理大臣官邸で第７０回新型コロナウイルス感染症対策本部を開催しました。
　会議では、新型コロナウイルス感染症への対応について議論が行われました。
　総理は、本日の議論を踏まえ、次のように述べました。
「全国の多くの地域において、新規感染者数は減少しておりますが、東京を中心とする首都圏は、先月末以降、感染者数の増加が続いております。重症者の数や病床の利用率は、低い水準にとどまっておりますが、変異株の影響を考慮し、再び全国へ感染拡大を波及させないためにも、対策を強化する必要があります。
　こうした状況を踏まえ、緊急事態宣言を、東京都を対象に発出し、また、沖縄県については延長することとし、期間を８月２２日までとすること、まん延防止等重点措置については、埼玉県、千葉県、神奈川県、大阪府について、８月２２日まで延長すること、北海道、愛知県、京都府、兵庫県、福岡県について、７月１１日をもって終了することを、それぞれ決定いたしました。ワクチンの効果が明らかとなり、病床の状況などに改善が見られる場合には、前倒しで解除することも判断いたします。
　緊急事態宣言の地域では、これまでの対策を継続し、飲食店における酒類の提供を一律に停止いたします。まん延防止等重点措置の地域においても、酒類の提供は原則として停止することとし、地域の状況に応じて判断することといたします。
　そしてまた、ワクチン接種については、先進国の中でも例のない速さで接種が行われており、総接種回数は５，４００万回を超え、既に、高齢者の約７割、全国民の約３割の方が１回の接種を終えています。今後、自治体における接種が円滑に進むよう、接種が進む市町村に多く配分できるよう見直しを行い、配分量をできる限り早期にお示ししてまいります。企業や大学などの接種についても、受け付けた申請の精査を速やかに行い、確実に対応してまいります。
　各大臣におかれては、感染防止対策、ワクチン接種について、しっかり連携して、全力を挙げて取り組んでいただくようお願いいたします。」",2022/7/8,医療・健康,,,2022/9/30,日本,https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-6,"菅首相「ワクチン接種、先進国の中で最速」はミスリード。会見で強調、実際は…
菅首相の発言があったのは、東京に4度目の緊急事態宣言を発令することになったことを受け、7月9日に開かれた記者会見。「先進国の中でも最も速いスピードだと言われてます」などと述べた。",2021/7/9,ミスリード,https://ourworldindata.org/covid-vaccinations,,,日本
4,https://twitter.com/jda1BekUDve1ccx/status/1535199494392156161?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,IAEAのグロッシ事務局長が「韓国が海へ流している処理水は１７兆ベクレル。日本の１３０倍であり、日常的に行われている」。で、韓国が日本に何か文句言ってるんだって？,2022/6/10,医療・健康,8970,2413,2022/9/30,,https://www.buzzfeed.com/jp/keitaaimoto/iaea-factcheck,"「韓国が流す処理水は17兆ベクレル」福島第一原発めぐり、IAEA事務局長の発言とするツイートが拡散→誤り
福島第一原発の処理水の「海洋放出」に関して、IAEA・グロッシ事務局長の発言とするツイートと画像が拡散しました。ファクトチェックで「誤り」とわかりました。東京電力福島第一原発の処理水の「海洋放出」を巡り、IAEA（国際原子力機関）のグロッシ事務局長が「韓国が海へ流している処理水は17兆ベクレル。日本の130倍」などと発言したとするツイートが拡散している。
言説の発端とみられるのが、グロッシ事務局長の海洋放出に関するビデオメッセージを伝えたNHKのニュース画像だが、そのメッセージの字幕は意図的に加工されたものだった。
NHK広報局も「画像は放送内容そのものではない」と否定しており、このツイートと画像は「誤り」だ。BuzzFeed Newsはファクトチェックした。",2022/6/17,誤り,https://www.meti.go.jp/press/2021/04/20210413001/20210413001.html,,,日本
5,https://twitter.com/InfoBeigedo/status/1534054899641905155?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,"５～11歳の子どもへのワクチン接種の怖さ：それでも接種させますか
「英国政府報告書：英国政府の公式データによると、子供がCovid-19ワクチン接種後に死亡する確率は、未接種の子供に比べ最大52倍である。」
 https://jamubeigedo.co.jp/new/2022-03-09-191943.html
#コロナウイルス　#ワクチン　#副作用　#死亡　#英国　#子供",2022/6/7,医療・健康,0,0,2022/9/30,日本,https://www.buzzfeed.com/jp/kotahatachi/children-vaccine-factcheck,"「ワクチン接種した子どもの死亡率は未接種者の52倍」はミスリード。英政府データを根拠と拡散、専門家は否定
イギリスの国家統計局「ONS」のデータに基づき、10?14歳の「10万人ごとの死亡率」をワクチン接種の状況に計算しまとめたとする内容だが、比較の方法が「極めてミスリーディング」（専門家）であるため、注意が必要だ。",2022/3/10,ミスリード,https://www.politifact.com/factchecks/2022/feb/11/blog-posting/no-covid-19-vaccine-not-increasing-child-mortality/,,,日本
6,https://web.archive.org/web/20210114065749/https://news.yahoo.co.jp/articles/fb77e11e286a81d9ac9fd7955471d38879a40ac7,新聞,"【独自】大江戸線運転士の集団感染、「盲点」だった共用洗面所の蛇口
新型コロナウイルスの感染拡大は、公共交通機関の運行にも影響する。東京では、都営地下鉄大江戸線の運転士が集団で感染し、年末年始の約２週間、間引き運行となった。感染が広がる要因の一つになったとみられるのは、運転士の宿直施設にある洗面所の蛇口だ。鉄道の運転士は交代要員の確保が難しく、鉄道各社は対策強化を検討している。（佐藤果林、山下智寛）
■本数削減
　都営大江戸線は、新宿や六本木など東京の中心部を結ぶ路線だ。一部は２３区北西部の練馬区にも延びる。２０１９年度は、１日に約９８万人が利用した。
　運転士の感染が最初にわかったのは、昨年１２月１５日だ。それから次々に感染者が判明し、今月４日までに３８人に上った。大江戸線に乗務する運転士の２割に当たり、感染者との濃厚接触者となった運転士ら４人も出勤できなくなった。このため大江戸線は、昨年１２月２７日から１月１１日にかけ、運行本数を普段の７割程度に抑える運行体制となった。
　都交通局などによると、３８人はいずれも江東区内の庁舎で始発などに備え、宿直していた。寝室は個室で、リネン類も毎日交換されていたが、洗面所や浴室、台所は共用で、同時に複数人が利用することもあった。
　１２月の保健所の現地調査で、感染を広げたと推定されたのは洗面所の蛇口だった。手で回して水を出すタイプで、歯磨きの際に唾液が付着した手で触れるなどし、ウイルスが付着した可能性が高いと指摘された。
　これを受け、都交通局は都営地下鉄各線の運転士に、洗面所の蛇口は紙で覆って触れることや、使用後の手指消毒などを指示。手を近づけるだけで水の出るセンサー式蛇口への変更も今後、検討するという。
　始発に乗務する鉄道の運転士の多くは前夜から宿泊する。大江戸線の場合、月に５、６回だ。都交通局は、他の鉄道各社にも注意を促すため、情報提供を始めた。",2022/1/14,医療・健康,,,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/metro-tokyo,"大江戸線の集団感染「洗面所の蛇口が原因か」はミスリード。専門家も「考えづらい」と指摘
都営大江戸線では運転手ら39人の新型コロナウイルス感染者が判明。早朝勤務に備え宿直し、浴室や洗面所、飲食スペースなどを共有していた。歯磨き時の唾液が蛇口についていたとする見方を伝える報道が相次いだが、これはミスリードだ。",2021/1/22,ミスリード,"日本口腔衛生学会の山下喜久理事長は自ら都交通局に確認をとり、1月15日に学会会員に向け以下のようなメッセージを配信している。
「保健所は単に聞き取り調査を行っただけで、感染源についての具体的検査等は何も行っていないことが分かりました」
「あたかも『歯磨きの際に唾液に汚染された蛇口』が感染源であったと断定されたかのような記事が飛び交っています」
「記事をよく読めば可能性と書いているので、間違った記述ではありませんが、他の可能性を敢えて言及していない点に問題がありそうです。また、この手の記事では見出しに惑わされることが多いようです」
メッセージではそのうえで「マスコミ報道に振り回されず、事実を見極める目が大切です」とも述べている。",,,日本
7,https://twitter.com/goooodthai/status/1396784353175162884?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,ファイザー社が正式にワクチンが不妊症を引き起こす可能性があることを認めていますよ。,2021/5/24,医療・健康,295,189,2022/9/30,日本,https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-3,"「ファイザー社、ワクチンが不妊を引き起こすと公式に認めた」は誤り。サイトの切り取りが拡散
新型コロナウイルスのワクチンが不妊や流産などに直接の影響がないということは、臨床試験や10万人を超える妊婦への接種後の追跡調査から明らかになっている。BuzzFeed Newsはファクトチェックを実施した。",2021/6/14,誤り,"    7. Does the Pfizer-BioNTech COVID-19 Vaccine cause infertility?

    It has been suggested that COVID-19 vaccines will cause infertility because of a shared amino acid sequence in the spike protein of SARS-CoV-2 and a placental protein. Although the SARS-CoV-2 spike protein shares an amino acid sequence with a placental protein, the two proteins are immunologically different and distinct.

    In an animal study in which the Pfizer-BioNTech COVID-19 Vaccine was administered prior to and during gestation, no vaccine-related adverse effects on female fertility, fetal development, or postnatal development were reported. If you are pregnant, or planning to become pregnant, discuss your options with your healthcare provider.",,,
8,削除済み,Twitter,看護師です。コロナワクチン私以外打ちます。どの会社のものかさえ知らされません。アナフィラキシー発作時の対応薬エピネフリンは全国在庫がなく、代わりにアドレナリンが用意されています。,2021/3/22,医療・健康,2255,1844,2022/10/3,日本,https://www.buzzfeed.com/jp/yutochiba/vaccination-adrenaline,"新型コロナワクチンの一部医療従事者への先行接種が進む中、Twiitterで「アナフィラキシー発作時の対応薬エピネフリンは全国在庫がなく、代わりにアドレナリンが用意されています」という情報が拡散された。

しかし、この情報は誤りだ。

エピネフリンとアドレナリンは呼び名は違うが同一のアドレナリン製剤であり、ワクチン接種の現場では緊急時にはエピネフリンに限らず使用可能なアドレナリン製剤を使うことで準備が進められている。",2021/3/23,誤り,https://www.mhlw.go.jp/content/000746087.pdf,,,日本
9,削除済み,Twitter,中国人の新型コロナ患者を40人ずつ受け入れている。そして、陽性者は日本人患者にすり替えられて報告される。全国にこんな病院が、いったいいくつあるの,2020/12/10,医療・健康,3371,2602,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/asahikawa-debunk,"旭川の病院「中国人の入院で医療崩壊」は誤り。「観光バスで40人ずつ受け入れ」などと拡散

旭川市内の病院を名指しし、「中国人の新型コロナ患者を40人づつ受け入れている」「中国人の入院で医療崩壊ですか…」などと指摘する誤情報が拡散している。",2020/12/18,誤り,この人物はその後、「不安によるつぶやきで、旭川の病院関係者に混乱を起こしてしまった」としてツイートを削除し、謝罪している（現在はこのツイート自体も削除されている）。,,,日本
10,削除済み,Twitter,世に知られているニキビ図と私が今までニキビができたときに不調だった箇所を総合的にまとめてみました！スキンケアの四方文良く触ってしまったり髪の毛が触れやすかったりでことなることがあふので参考までに！私は眉毛と顎と左保保ばかりニキビが出る...,2020/12/7,医療・健康,33600,3700,2022/10/3,日本,https://www.buzzfeed.com/jp/harunayamazaki/nikibi-map,"「ニキビの位置で体の不調がわかる」と図が拡散。専門医「全くの都市伝説」

インターネット上で拡散する、ニキビができる位置で体の不調がわかるとうたう「ニキビ図」の情報。科学的根拠はなく、皮膚科専門医も「全くの都市伝説」と一蹴します。",2020/12/15,誤り,"「元のツイートを見た時に思わず笑ってしまいましたが、都市伝説はなかなか根強いですね。それこそ、『思い思われ振り振られ』なんてニキビの伝説があるのと同じです」

皮膚科専門医の佐治なぎさ先生は、そうバッサリ言い切ります。科学的な根拠には乏しく「誤り」と言えます。

「というわけで、結論から言うと全くの都市伝説です。ただ、ショートヘアの方は髪の刺激でフェイスラインのニキビが悪化しやすい、などの傾向はあります」",,,日本
