,フェイクニュースURL,フェイクニュースの媒体,フェイクニュース本文,フェイクニュース作成日付,話題の分野,いいね数,RT（含む引用）,DBへのデータ登録日,フェイクニュースの発信国,評価記事のURL,評価記事の本文,評価記事の日付,判定,判定の根拠①,判定の根拠②,判定の根拠③,評価記事作成国
1,https://twitter.com/kotoRichanPPP/status/1377830854630600705?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,"聖火リレーに、愛知県伝統の女人禁制の舟が相応しくないって文句言ってる人は、その聖火リレーの火を作るギリシャの採火式にも文句言いましょうね?。
男子禁制な上に処女限定。めちゃくちゃ差別的ですね?。",2021/4/2,社会,4534,2295,2022/9/30,日本,https://www.buzzfeed.com/jp/harunayamazaki/olympic-flame-lighting,"聖火リレー採火式は「男子禁制」で性差別？SNSで拡散するも不正確 “都市伝説”を検証

ギリシャ・オリンピアで行われる聖火リレーの採火式は「男子禁制」「巫女は処女のみ」で性差別なイベントーーそんな情報が拡散しているが、複数の点から事実と異なる。ネット上の“都市伝説”を検証した。",2021/4/7,不正確,NHKニュース（削除済み）,,,日本
2,https://twitter.com/tweetsoku1/status/1374632087119007746?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,【悲報】カナダ、五輪不参加を表明　反日国家,2021/3/24,社会,340,156,2022/9/30,日本,https://www.buzzfeed.com/jp/yutochiba/canada-olympics-2021,"「カナダ、東京五輪へ不参加を表明」はミスリード。「反日国家」などと去年の記事が拡散

カナダのオリンピック委員会は3月24日、今夏の東京五輪は「安全に開催できると確信している」と声明を発表している。",2021/3/26,ミスリード,"BBCが「カナダ、今夏の東京五輪に不参加を表明　IOCは4週以内に結論」という記事を公開したのは、2020年3月23日。

つまり、この情報は東京五輪の延期が決まる前のものであり、最新情報ではない。",,,日本
3,削除済み,Twitter,ジラーチっす,2021/3/15,社会,66000,23000,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/uber-sushi,"「ウーバー配達員が配達中のいなり寿司を食べて逮捕」と拡散したのはコラ画像

拡散しているのは、持続化給付金を不正受給したとして、詐欺容疑で2月に逮捕された男子大学生のニュース映像がもとになっているコラージュ画像だ。",2021/3/17,虚偽,"持続化給付金を不正受給したとして、詐欺容疑で2月に逮捕された男子大学生のニュース映像がもとになっている。
そもそも、警視庁に墨田署は存在しない。画像の下部を見ると加工したあとが見つかるほか、人物の名前も異なるものに書き換えられている。
また、配達中の「いなり寿司」に関するストーリーも、ネット上の一部で「ミーム」として広がっているものだ。",,,日本
4,削除済み,Twitter,日本政府が航空機をチャーターして、中村さんを迎えにに行けばよかったのに、日本政府は最後まで無視しましたね。アフガニスタンの空港には、政府関係者の姿はなかった…,20-Dec,社会,11000,6700,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/rip-dr-nakamura,"中村哲さんの追悼式典「日本政府関係者の姿はなかった」は誤り　アフガニスタンの空港で
アシュラフ・ガニ大統領自らが、兵士とともに国旗に包まれた棺を担ぎ、哀悼の意を表明した記念式典をめぐり、誤った情報が拡散している。
アフガニスタンで復興支援中に銃撃され死亡した「ペシャワール会」代表の中村哲医師の遺体が帰国した。
首都カブールの空港で開かれた追悼式典をめぐって、「日本政府は最後まで無視」「政府関係者の姿はなかった」というツイートが拡散しているが、これは誤りだ。",2019/12/9,誤り,"外務省法人テロ対策室の担当者は、BuzzFeed Newsの取材に対し、そうした情報は「間違いです」と語った。
担当者によると、式典には鈴鹿光次・駐アフガニスタン特命全権大使ら大使館関係者が参列。
さらに、遺族支援や遺体の帰国支援のため、日本から遺族に同行していた外務省の「海外緊急展開チーム」（ERT）の1人も、やはり参列していたという。
遺体の帰国に関して、現地政府とのやりとりなどを担ったのも、こうしたERTや大使館員だ。なお、現地大使館に何人の日本人スタッフがいるかについては、「安全面」から回答はなかった。
そこに日本の閣僚などの姿はなかったとしても、「政府関係者がいなかった」という情報は誤りになるため、注意が必要だ。
なお、拡散しているツイートで指摘されている、中村さんの遺体の帰国にチャーター機が使用されていなかったという点は、外務省担当者によると事実だ。とはいえ、情報の根幹部分は「式典に政府関係者がいなかった」という点であることから、レーティングは「誤り」とした。",,,日本
5,https://twitter.com/hashimoto_lo/status/1313278992619692032?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,学者がよく口にするアメリカとイギリス。両国の学者団体には税金は投入されていないようだ。学問の自由や独立を叫ぶ前に、まずは金の面で自立しろ。年1500円ほどの会費で今の予算は確保できる。学士院の終身年金も時代にそぐわない。文科省は何をやってきた！前川喜平が次官になるようなダメダメ役所だ,2020/10/6,社会,7920,2501,2022/10/3,,https://www.buzzfeed.com/jp/yutochiba/gakujutukaigi-fact-check-2,"アメリカ、イギリスの「学者団体には税金は投入されていない」は誤り。日本学術会議をめぐり、橋下徹氏の発言が拡散

「学者がよく口にするアメリカとイギリス。両国の学者団体には税金は投入されていないようだ」とTwitterに投稿した橋下徹・元大阪府知事。しかし、この情報は誤りだ。

「日本学術会議」の新たな会員として推薦された学者6人の任命を、菅義偉首相が拒否したことをめぐる問題。

この問題について、橋下徹・元大阪府知事は「学者がよく口にするアメリカとイギリス。両国の学者団体には税金は投入されていないようだ」とTwitterに投稿した。

橋下氏が投稿した「税金は投入されていない」という情報は誤りだ。橋下氏はその後、自らのツイートが説明不足だったと引用リツイートで述べている。

しかし、最初のツイートが広く拡散し、1700回以上リツイートされている。",2020/10/12,誤り,"アメリカの「National Academy of Science（NAS）」の財務報告書（2017年）では「NASの活動の大部分は、米国政府との実費精算契約および補助金に基づいて行われています」と報告されている。

2017年度では38%にあたる6830万ドル（日本円で約72億円）、2016年度では36%にあたる6700万ドル（日本円で約70億円）が政府との契約や補助金によるものであると報告書には記されている。",https://nap.nationalacademies.org/read/25177/chapter/1#iii,,日本
6,https://twitter.com/chihiro_kitei/status/1311787951227985920?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,日本学術会議。「防衛研究は認めないが、中国の軍事研究には参加する」という結構な反日組織になっており、今回の官邸側の動きは十分理解できる。「中国との戦争はもう始まっている」と痛感させられた。「戦争の結果は戦争する前に決まっている」ので、こういう地道な改善は重要。,2020/10/2,社会,9466,5462,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/thousand-talents-plan,"日本学術会議が「中国の軍事研究に参加」「千人計画に協力」は根拠不明。「反日組織」と拡散したが…

軍事転用への懸念などがアメリカで示されている中国政府による「千人計画」に対して、日本学術会議が協力しているという根拠のはっきりしない情報が広がっている。発端は自民党の甘利氏の発言にあるとみられるが、学術会議側は、これを否定している。",2020/10/9,誤り,"日本学術会議の担当者はBuzzFeed Newsの取材に対し、中国の軍事研究への協力について「そのような事業、計画などはありません」と明確に否定した。
また、「千人計画」ついても「学術会議として、計画に協力したり、交流したりするようなことはしておりません」と同様に否定した。
日本学術会議と中国の関係についていえば、中国科学技術協会との間に2015年に「協力覚書」を結んでいる。",https://www.scj.go.jp/ja/int/workshop/abstract.pdf,,日本
7,削除済み,Twitter,"イラン軍が、アメリカのドローンと交戦した様子らしいけどアメリカのドローンが異次元すぎてイラン軍は手も足も出ない…
9月9日の出来事だから先週の話です　現代の戦争って高性能なドローンを持っているか否かで勝敗が決まりそうだね",2020/9/19,社会,15000,不明,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/us-iran,"「イラン軍がアメリカのドローンと交戦」動画が拡散、実際は…

「イラン軍がアメリカのドローンと交戦している」とされた動画は、ペルシャ語で9月9日、「昨晩撮影されたもの」としてYouTubeにアップされていた。その後、動画は英語圏でも拡散。日本でも同様に広がったとみられている。注意が必要だ。",2019/9/23,虚偽,"「Big Sandy Machine Gun Shoot」という、アメリカで開かれている世界最大のマシンガンの「祭典」で撮影された、ラジコン飛行機を撃ち落とす夜間射撃イベントのものとみられている。
「Big Sandy」の公式Facebookアカウントも、UFO関連のファクトチェックをしている団体の質問に対し、「確かに自分たちのイベントの動画のようにみえる」と回答。
ただし、「数百人の参加者がさまざまなカメラを使用しているため、フレームごとに比較する簡単な方法はない」としている。
",https://www.facebook.com/ufoofinterest/posts/2318981744985981,,日本
8,https://youtu.be/FgnffAcPBdc,YouTube,【鬼の一撃！台湾軍が中国戦闘機に対空ミサイル発射！】日本政府よ刮目しろ！これが国を守る覚悟だ！台湾領空侵犯した中国戦闘機に台湾軍が対空ミサイルを発射！中国戦闘機を追い返した！流石李登輝の魂宿る台湾だ！,2020/8/19,社会,,,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/taiwan-missile,"「台湾軍が中国軍機にミサイル発射」YouTube動画で「マスコミが報じない」と誤情報が拡散、60万再生超える

動画では作成者とみられる男性が、イギリスのタブロイド紙「EXPRESS」による「第三次世界大戦の瀬戸際…」と題した8月12日の記事を読み上げ、ニュースを解説している。",2020/8/26,誤り,"まず、アザー長官が台湾を訪問した8月10日、中国軍が台湾海峡にある「中間線」を超え、台湾側に入ったことは、台湾国防部の公式声明でも同日中に発表されている。日本語訳は以下の通りだ。
    空軍司令部は本日（10日）、中国共産党軍の空軍に所属するJ-11、J-10型戦闘機が本日午前9時ごろ、海峡の中間線を度々超え、我が空軍が地対空ミサイルを用いてその間、常時監視したほか、直ちに警告を発し、空中哨戒兵力によって強制的に撤退させたことを明らかにした。
    空軍司令部は、中共の軍戦闘機による挑発行為により地域の安全と安定が大きく損なわれたと指摘し、我が軍は台湾領海と領空の状況を十分に把握しており、敵情の変化に応じて妥当な対処ができ、国土の安全を確保できると強調した。
ミサイルを発射したという表現は見当たらない。「地対空ミサイルによる監視」と「警告」さらに「哨戒」（パトロール）という指摘に留まっていることがわかる。
今回ファクトチェックの対象となったYouTube動画では、翻訳された「ミサイル追跡」を「発射されたミサイルによるもの」と他のソースなしに解釈したとみられる。
動画内では「EXPRESS」をGoogle翻訳したものと、まとめサイト「保守速報」の記事以外、明確なソースを示していないことからも、その可能性は極めて高い。",,,日本
9,http://web.archive.org/web/20200816083933/https://www.torontotoday.net/2020/08/15/vladimir-putins-daughter-dies-after-second-dose-of-covid-vaccine/,Website,"Vladimir Putin’s daughter DIES after second dose of COVID vaccine
Vladimir Putin’s daughter suffered unexpected side effects to the experimental Russian COVID vaccine, and has passed away in Moscow. The Kremlin has yet to make a statement on her death. A source within Russia’s inner circle stated that Putin’s daughter ? Katerina Tikhonova ? suffered a rise in temperature shortly after her second injection, and then suffered a seizure. Doctors were not able to reverse the side-effects of the vaccine, and she was pronounced dead late yesterday evening.
The Russian vaccine is named Sputnik V, after the first artificial satellite, launched into space by the Russians in 1957. It is also noteworthy that Sputnik is the name of Russia’s International News Station, which has been accused of being a propaganda wing of the Kremlin.
    Russian vaccine 'Sputnik V' may be a new Chernobyl.
    ? El Come Callao' (@panzenu) August 15, 2020
Prior to Katerina’s death, Russian Doctor Sergei Tsarenko stated that releasing the vaccine early was the better out of 2 options. In his opinion, it was better just to move ahead, as opposed to letting people die.
However, Western doctors were fearful of Russia bypassing stage 3 trials and rushing the drug to market, warning it could have devastating effects.
Abram L. Wagner, Professor of epidemiology at the University of Michigan had this to say on a rushed COVID-19 vaccine.
    Although it would be wonderful to get a vaccine into the population quickly, there could be substantial downsides if researchers and manufacturers cut corners. Imagine a vaccine that often had serious side effects that weren’t caught in small trials before it was widely administered.
    Source: https://www.pbs.org/newshour/health/russia-is-cutting-corners-on-covid-19-vaccine-clinical-trials-heres-why-they-matter
    ""The Russian vaccine’s approval comes before trials that would normally involve thousands of participants, commonly known as Phase III. Such trials are usually considered essential precursors for a vaccine to secure regulatory approval."" https://t.co/VssXTnGNSK
    ? ??? Louis (@LouieRGR) August 15, 2020
Now it appears, Katerina Tikhonova is the first official fatality of the Russian COVID-19 vaccine. Proving that Sputnik V was not safe, and skipping stage 3 trials was a misguided move on the Kremlin’s part.
The Kremlin is known to spread disinformation, so it is likely it will lie about Putin’s daughter’s death, or else blame her death on something other than the vaccine.",2020/8/15,社会,,,2022/10/3,カナダ,https://tsargrad.tv/news/toronto-today-opublikovali-sensaciju-o-docheri-putina-i-tut-zhe-udalili-lzhivyj-material_274216,"Toronto Today опубликовал ""сенсацию о дочери Путина"" и тут же удалил лживый материал
Toronto Today, по всей видимости, переплюнул всех в гонке по обесцениванию российской вакцины от коронавируса. На страницах портала опубликовали ""сенсацию о дочери Путина"", но тут же удалили лживый материал.
Масштаб вбросов о российской вакцине переходит все мыслимые пределы. Так, издание Toronto Today опубликовало так называемую сенсационную новость о дочери президента России Владимира Путина, которая испытала на себе вакцину от COVID-19. 
""Vladimir Putin’s daughter suffered unexpected side effects to the experimental Russian COVID vaccine, and has passed away in Moscow..."" - говорится в оригинальной версии сообщения, которое провисело на сайте совсем недолго. 
Toronto Today выпустил подробный, но совершенно фейковый материал о кончине испытавшей на себе вакцину от коронавируса российского производства. В то же время авторы ReReadQ @DigMemePray, понимая, что имеют дело с уже удалённым фейком, семь (!) раз опубликовали скриншот сообщения со своими комментариями. Например, автор блога писал, что скриншот сделал некий аноним незадолго до того, как материал был удалён. Не обошлось и без ""клюквы"":
""Сегодня этот сайт был атакован ядерным оружием, - отметил автор, хочется верить, что вполне иронично. - Вот скриншот удалённого. Насколько я знаю, нигде нет второго источника"".
Естественно, ""второго источника"" не существует. Более того, сайт Toronto Today, где всё ещё можно найти следы удалённого материала, является порталом с ограниченным доступом. То есть для прочтения конкретной аудиторией портала создали фейк, по всей видимости, под впечатлением огромной кампании по травле создателей препарата и обесцениванию достижения.
Ранее Владимир Путин сам сообщил, что его дочь опробовала на себе вакцину от коронавируса и теперь обладает иммунитетом к опасному заболеванию. Вакцину Россия создала первой в мире, вакцинация начнётся в ближайшее время. ",2020/8/17,誤り,https://www.rt.com/russia/495273-russian-military-covid-vaccine/,,,ロシア
10,https://gigazine.net/news/20200106-finland-plans-four-day-working/,Website,"「週4日＆1日6時間労働」をフィンランドの新首相が計画中
34歳というフィンランド史上最年少の若さで首相に就任した、フィンランドのサンナ・マリン首相が、「週4日＆1日6時間労働」の導入を検討しています。

Finland's new Prime Minister Sanna Marin, 34, plans to introduce four-day working week | Daily Mail Online
https://www.dailymail.co.uk/news/article-7854449/Finlands-new-Prime-Minister-Sanna-Marin-34-plans-introduce-four-day-working-week.html

マリン首相は、27歳からフィンランド・タンペレ市の市会議員として活動していましたが、2期を務めた後に国会議員に転身。2014年にフィンランド社会民主党としてフィンランド議会に初当選を果たし、2期目で運輸通信大臣に選出。アンティ・リンネ前首相の辞任により、2019年12月8日、フィンランド社会民主党によって第46代フィンランド首相に選ばれました。首相就任時の年齢は34歳、フィンランド首相としては最年少の若さを誇る、3人目の女性首相です。


そんなマリン首相が、労働者が家族とより多くの時間を過ごせるようにするための法案として、「週4日・1日6時間労働制」を検討していると発表。マリン首相は運輸通信大臣時代から、生産性を改善するための「労働時間の短縮」を提唱していました。


マリン首相は答弁の中で、「フィンランド国民の労働時間を少なくするというのは重要なことです。これは我々の公約でもありますし、労働者を助けることにもつながります。2015年から1日6時間労働を実行している隣国のスウェーデンでは、労働者がより幸福に、より経済的に豊かに、より生産的になったという調査結果が示されています」と述べました。

記事作成時点で、フィンランドにおいて法で定められた労働時間は、週5日・1日8時間労働です。今回の発表は、フィンランド左翼同盟を率いるリ・アンダーソン教育大臣の熱烈な賛同を得ていると報じられています。

2019年10月、日本マイクロソフトはライフワークバランスの改善のために「週4日労働」を実践。同社は、「週4日労働の結果、生産性が39.9％改善した」と報告しています。",2020/1/6,社会,,,2022/10/3,日本,https://www.buzzfeed.com/jp/yutochiba/huxinrandoga316ohamonaitotirisitato,"「フィンランドが週休3日、1日6時間労働を検討」は不正確。「早とちりした報道」と大使館は指摘

フィンランドのサンナ・マリン首相が週休3日制、1日6時間労働制の導入を検討する考えを表明したというニュースが報道されているが、これは不正確な情報だ。",2020/1/7,不正確,"駐日フィンランド大使館の広報担当者は「誤報と申しますか、早とちりした報道のようです」と回答した。
現段階では政府やマリン首相が所属する社会民主党でも「週休3日」や「1日6時間勤務」は目標として掲げられてはいないからだ。実際に、計画もされていない。
そのうえで広報担当者は、各紙が報じた発言のソースは、正しくはマリン首相が交通・通信大臣だった、2018年8月のものであると指摘した。
「サンナ・マリンが交通・通信大臣だった昨年8月、所属する社会民主党の120周年式典のパネルディスカッションで『週休3日か１日6時間のどちらがいいか』と尋ねられた際、『時間短縮を願っている。それが社会民主党の目標になればいいと思っている』と発言しました」
また、広報担当者によると、マリン首相は当時、地元紙に以下のような意見を寄稿しているという。
「ここ100年、労働時間は短縮されてきた。週4日、6時間の労働で十分な給料を得ることは、不可能、もしくはユートピアに聞こえるかもしれない。だが、週5日、8時間もかつてはそう考えられてきた。かつて不可能と思われたことが、実現されてきた」
マリン首相自らが将来的なビジョンとして「週4日、6時間労働」を持っていることは事実だと言える。ただし、それは首相になる前の発言であることに留意が必要だ。
また、実際にフィンランド政府として「検討している」とすることは、現段階では「不正確」だ。",https://twitter.com/FinEmbTokyo/status/1214465052511739904?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1214465052511739904%7Ctwgr%5E49cfde0f3533f6b92816aaeadcf73a297d6b9a4c%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.buzzfeed.com%2Fjp%2Fyutochiba%2Fhuxinrandoga316ohamonaitotirisitato,,日本
