,フェイクニュースURL,フェイクニュースの媒体,フェイクニュース本文,フェイクニュース作成日付,話題の分野,いいね数,RT（含む引用）,DBへのデータ登録日,フェイクニュースの発信国,評価記事のURL,評価記事の本文,評価記事の日付,判定,判定の根拠①,判定の根拠②,判定の根拠③,評価記事作成国
1,削除済み,Line,"新型コロナウィルスは、感染されても何日も症状が出ない場合があります。では、自身が感染されたかどうか、どう分かるのでしょう。咳と熱の症状が出て、病院に行った時は大体50%は肺が繊維化されていると考えられます。即ち、症状が出て受診すると遅れるケースが多いのです。
台湾の専門家は、毎朝、自身でチェックできる簡単な診療を提示してます。
深く息を吸って、10秒我慢する。咳が出たり、息切れる等、すごく不便なことがなければ、肺が繊維症状になってない、即ち、感染されてないということです。(注:新型コロナで悪化すると、肺胞の組織が繊維化して硬くなっていくようです。）
現在、既に大変な事態になってるので、毎朝、良い空気を吸いながら、自己診断をしてみてください。
また、日本のお医者さんは、とても有効なアドバイスをしてくれています。皆んな、常に、口と喉を濡らして、絶対に乾燥した状態におかないこと。15分毎に水を一口飲むのが良いそうです。ウィルスが口に入ったとしても、水とか他の飲み物によって、食道から胃に入ってしまえば、胃酸によりウィルスは死んでしまう。水分をよく取らない場合、ウィルスが気管支から肺に侵入してしまうので、とても危ないのです。",不明,医療・健康,,,2022/10/3,日本,https://www.buzzfeed.com/jp/yutochiba/hold-your-breath-for-10-seconds-myth,"新型コロナウイルスに感染しているかどうか見分ける方法として、「深く息を吸って、10秒我慢する」というセルフチェックが台湾の専門家によって提示されているという情報が拡散している。
この情報は誤りだ。BuzzFeed Newsは米国国立研究機関博士研究員として免疫学やウイルス学を専門とする峰宗太郎医師の協力を得て、ファクトチェックを実施した。
峰医師は「息を止められるかどうかということと肺炎をふくむ気道炎症性疾患を発症しているかどうかは特に関するものではないといえます」としている。",2020/4/27,誤り,https://www.yomiuri.co.jp/national/20200412-OYT1T50078/,,,日本
2,"https://twitter.com/hasibiro_maga/status/1573086584525967360
",Twitter,日本へ軍事侵入を準備しているロシアのプーチン大統領は2022年9月21日、国民向けのテレビ演説を行いました。「日本政府がウクライナに軍事支援をしたので反撃を開始する。これはハッタリではない。坪に念仏でも唱えてろ」,2022/9/23,政治,3258,1372,2022/9/30,日本,https://www.buzzfeed.com/jp/keitaaimoto/russia-fc,"NHKは9月22日、演説内容の全文をネット上で公開している。要点は次の通り。
先制的な軍事作戦を行う決定は不可欠。ドンバス全域（ウクライナ東部）解放という作戦の目標は変わっていない。
部分的な動員を支持することが必要。対象は、予備役になっている国民で、とりわけ軍勤務経験者や、一定程度の軍事専門の知識を有する人。
部分的な動員に関する大統領令に署名した。動員措置は9月21日から開始。
領土と一体性が脅かされる場合、ロシアと国民を守るため、保有するあらゆる手段を行使する。これは脅しではない。
核兵器で我々を脅迫しようとする者は、風向きが逆になる可能性があることを知るべきだ。
",2022/9/26,誤り,"プーチン大統領は9月21日、実際に国民向けのテレビ演説を行っているが、その時に話した内容はウクライナに派遣する兵士についてが主だった。
一方、日本に関しては触れておらず、このツイートは「誤り」だ。",,,日本
3,https://www.asahi.com/articles/ASQ9F6QSRQ9FUTFK01K.html?_requesturl=articles%2FASQ9F6QSRQ9FUTFK01K.html&pn=2,デジタル新聞,自民総務会で苦言相次ぐ　国葬や旧統一教会への対応めぐり石破氏ら（有料記事のため本文無し）,2022/9/13,政治,,,2022/9/30,日本,https://infact.press/2022/09/post-20790/,自由民主党の石破茂元幹事長が、安倍晋三元首相の国葬に関し、英国のエリザベス女王の国葬を引き合いに出し、『イギリスも国葬の（国会）議決をとっている』との発言をした。しかし、英国議会に直接確認したところ、エリザベス女王の国葬に関し、議会の議決がなされた事実はなかった。,2022/9/17,誤り,英国において、国葬の際に国会の議決が必要とされているのは、君主以外の者の国葬が行われる場合であり、君主の国葬が行われる場合ではない。実際に英国議会に確認したところ、エリザベス女王の国葬について国会の議決や動議がなされた事実は存在しない、との回答であった。,,,日本
4,"https://twitter.com/myan62/status/1516439718610628611
",Twitter,自民党が次の参院選で大勝したら「殆ど社会保障関係に使われていない消費税を更に19%に増税する」と岸田文雄首相が言っていますが私は断固として消費税増税はお断りします。,2022/8/20,政治,16500,7840,2022/9/30,日本,https://infact.press/category/factcheck/,,,,,,,日本
5,https://twitter.com/kissan39/status/1538177903061479424,Twitter,"吉村 大阪府知事
長野駅前の街宣らしいです。
わたしゃ、後にも先にも、ポケット手をつっこんだまま街宣すると言う国民・県民・市民を舐めきった人ははじめてですわ。",2022/7/19,政治,7199,4609,2022/9/30,日本,https://infact.press/2022/07/post-20415/,"Twitter で、「6 月 18 日の街頭演説会で、吉村大阪府知事が、ポケットに手をつっこんだま
ま街宣しており、国民・県民・市民を舐めきっている」というツイートと画像が拡散したが、
このツイートはミスリードだ。",2022/7/9,ミスリード,17秒間しかポケットに手を入れていた可能性がないため,,,日本
6,https://twitter.com/hosono_54/status/1538322939925643265,Twitter,参議院選挙直前の週末、政党間の討論内容を確認。防衛費の増加については立憲、共産、社民のいわゆるリベラル政党が反対の立場。国防費の大幅増を打ち出したドイツのシュルツ首相は社会民主党。安全保障環境が激変している中で、なぜ日本のリベラル政党は変われないのか。,2022/7/19,政治,2630,735,2022/9/30,日本,https://infact.press/2022/07/post-20417/,自民党の細野豪志衆議院議員が自身のTwitterで、「防衛費の増加については立憲、共産、社民のいわゆるリベラル政党が反対の立場」と発言した。しかし、共産党、社民党は防衛費増加については反対の立場だが、立憲民主党は必ずしも反対しておらず、この発言は不正確だ。,2022/7/8,不正確,共産党、社会民主党は防衛費増加については反対の立場だが、立憲民主党は防衛費増加には反対していないため。,,,日本
7,https://twitter.com/glicommunity/status/1548880447173644289,Twitter,"生理に悩まされ続けている中学生娘が「ソフィで働きたい」と言い出した。
なんで？と聞いたら、
「シンクロフィット神だし、デリケートウェットシートが快適すぎるから、絶対生理に理解ある会社だと思うの」と。
で、初任給調べ始めたら、「なんで男性と女性で給料ちがうの…？」と困惑していた。",2022/7/18,ビジネス,31500,7450,2022/10/4,日本,https://www.buzzfeed.com/jp/keitaaimoto/unicharm-fc,"ツイートに出てくる「ソフィ」は、ユニ・チャームが販売する生理用品のブランド名だ。
どこの会社の初任給を調べたのかツイート内で明示されていないが、文脈からユニ・チャームと誤解される可能性がある。
このツイートは拡散しており、18日午後4時半現在で1万8000いいね、約3700リツイートとなっている。
ユニ・チャームのHPに、初任給について記載がある。
「新卒採用　募集要項」の欄に2021年4月の実績として、「修士了　月給　22万6000円」「大学卒　月給　21万円」とあった。
学歴による初任給の差はあるが、男女で異なる金額が提示されているわけではない。
BuzzFeed Newsが同社の広報担当者に電話取材したところ、「性別によって初任給が違うという事実はありません」と回答した。
また、同社での入社後の男女での給与格差の有無について、広報担当者は以下のように語った。
「入社後はそれぞれ役職が上がるなどして昇給していきますが、『男性だから』『女性だから』ということで給料が差別されることはありません」",2022/7/19,ミスリード,どこの会社の初任給かは明示されていないもののユニ・チャームと誤解される可能性がある文脈でツイートしていたため。,,,日本
8,https://twitter.com/hatoyamayukio/status/1547125398882119680?s=20&t=LqZf2R2NDtGWKJ_LsOBMzg,Twitter,白澤卓二先生のお話を聞いて驚愕した。WHOがワクチンを打った人の方が打たない人より３倍入院する確率が高いことを認めたとのこと。ファイザーは大量のデータを消したとの内部告発も発表された。今までワクチン利権は聞いていたが、陰謀論と切り捨てられるようなものではないことが明らかになった。,2022/7/13,医療・健康,51000,27000,2022/9/30,日本,https://www.buzzfeed.com/jp/kotahatachi/yukio-hatoyama-fc,"「ワクチンを打つと入院確率が3倍になるとWHOが認めた」鳩山元首相のツイートを専門家が否定。河野太郎氏は「ワクチンデマ」と批判
拡散しているのは鳩山由紀夫・元首相のツイート。しかしWHOはこうした発表を一切しておらず、イギリスからの報告などでは、むしろ、3回目接種においては「打った人のほうが打たない人よりも3倍以上入院する確率が『低い』」ことが明らかになっている。",2022/8/12,誤り,日米の専門家でつくるプロジェクト「こびナビ」はBuzzFeed Newsの取材に対し、まず「入院確率が3倍になる」という言説について「鳩山氏のツイート内容のような事実は認知しておりません」と回答。「英国からの報告では、ワクチンの入院予防効果は、3回目接種から105日以降で、18～64歳で70%程度、65歳以上で80%強であることが明らかになっています。つまり、『うった人の方がうたない人より3倍以上入院する確率が低い』のが事実です」,,,日本
9,https://www.kantei.go.jp/jp/99_suga/actions/202107/08corona.html,Website,"令和３年７月８日、菅総理は、総理大臣官邸で第７０回新型コロナウイルス感染症対策本部を開催しました。
　会議では、新型コロナウイルス感染症への対応について議論が行われました。
　総理は、本日の議論を踏まえ、次のように述べました。
「全国の多くの地域において、新規感染者数は減少しておりますが、東京を中心とする首都圏は、先月末以降、感染者数の増加が続いております。重症者の数や病床の利用率は、低い水準にとどまっておりますが、変異株の影響を考慮し、再び全国へ感染拡大を波及させないためにも、対策を強化する必要があります。
　こうした状況を踏まえ、緊急事態宣言を、東京都を対象に発出し、また、沖縄県については延長することとし、期間を８月２２日までとすること、まん延防止等重点措置については、埼玉県、千葉県、神奈川県、大阪府について、８月２２日まで延長すること、北海道、愛知県、京都府、兵庫県、福岡県について、７月１１日をもって終了することを、それぞれ決定いたしました。ワクチンの効果が明らかとなり、病床の状況などに改善が見られる場合には、前倒しで解除することも判断いたします。
　緊急事態宣言の地域では、これまでの対策を継続し、飲食店における酒類の提供を一律に停止いたします。まん延防止等重点措置の地域においても、酒類の提供は原則として停止することとし、地域の状況に応じて判断することといたします。
　そしてまた、ワクチン接種については、先進国の中でも例のない速さで接種が行われており、総接種回数は５，４００万回を超え、既に、高齢者の約７割、全国民の約３割の方が１回の接種を終えています。今後、自治体における接種が円滑に進むよう、接種が進む市町村に多く配分できるよう見直しを行い、配分量をできる限り早期にお示ししてまいります。企業や大学などの接種についても、受け付けた申請の精査を速やかに行い、確実に対応してまいります。
　各大臣におかれては、感染防止対策、ワクチン接種について、しっかり連携して、全力を挙げて取り組んでいただくようお願いいたします。」",2022/7/8,医療・健康,,,2022/9/30,日本,https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-6,"菅首相「ワクチン接種、先進国の中で最速」はミスリード。会見で強調、実際は…
菅首相の発言があったのは、東京に4度目の緊急事態宣言を発令することになったことを受け、7月9日に開かれた記者会見。「先進国の中でも最も速いスピードだと言われてます」などと述べた。",2021/7/9,ミスリード,https://ourworldindata.org/covid-vaccinations,,,日本
10,https://twitter.com/rzSHEDpNsIO9ZXI/status/1532052789303853057,Twitter,自民党の河野太郎、敵の党の立憲民主党の辻元清美の決起大会に出て、応援している。河野太郎は売国奴だ。自民党は河野太郎を敵対行為として、除名処分しろ,2022/7/2,政治,4689,3052,2022/9/30,日本,https://infact.press/2022/07/post-20302/,自民党の河野太郎議員が、立憲民主党から参院選に出馬している辻元清美候補の決起大会に参加したとするツイートが拡散した。しかし、そうした事実は無く、これは誤りだ,2022/7/5,誤り,画像は5年前の産経新聞記事に掲載されていたものであり、今回とは無関係のパーティーの写真を使用しているため。,,,日本
11,https://twitter.com/tweetsoku1/status/1542845475661189120,Twitter,【速報】岸田首相が大激怒！ロシアによるサハリン2の件で「戦争も辞さない。徹底的にやる」,2022/7/1,政治,1160,642,2022/9/30,日本,https://infact.press/2022/07/post-20440/,岸田首相がロシアに対して「戦争も辞さない。徹底的にやる」と発言したとの情報が拡散した。しかし、これは虚偽情報だ。,2022/7/10,虚偽,記事の本文と見出しが一致しないため（岸田総理が発言したと書いていない）,,,日本
12,https://twitter.com/tweetsoku1/status/1542845475661189120?s=20&t=-MdijJgLFrY2k9eO-hc0_Q,Twitter,【速報】岸田首相が大激怒！ロシアによるサハリン２の件で「戦争も辞さない。徹底的にやる」,2022/7/1,政治,1160,642,2022/9/30,日本,https://infact.press/category/factcheck/,根拠とされた記事にはそうした発言は書かれていない。また、首相会見を確認しても、「戦争も辞さない。徹底的にやる」との発言は見当たらない。加えて、サイトは問い合わせに応じていない。,2022/7/10,虚偽,該当記事にそのような発言はない,,,日本
13,"https://twitter.com/sharenewsjapan1
",Twitter,どーすんのこれ...　【悲報】岸田首相、総裁選での公約を全部削除,2022/6/26,政治,60000,28447,2022/10/3,日本,"https://www.buzzfeed.com/jp/kotahatachi/jimin-political-promise-fc
",これは2021年10月の衆議院選挙当時の報道を流用したものであり、今回の参院選に関するものではない。状況には変化もあることから、「ミスリード」な情報といえる。,2022/7/1,ミスリード,今回の参院選に関するものではない。,,,日本
14,"https://twitter.com/hosono_54/status/1538322939925643265?s=20&t=QK2qcPFlYTLtC7WIKQmxsg
",Twitter,参議院選挙直前の週末、政党間の討論内容を確認。防御費の増加については立件、共産、社民のいわゆるリベラル政党が反対の立場。国防費の大幅増を打つ出したドイツのシュルツ種層は社会民主党。安全保障環境が激変している中で、なぜ日本のリベラル政党は変われないのか。,2022/6/19,政治,2660,744,2022/9/30,日本,https://infact.press/category/factcheck/,共産党、社会民主党は防衛費増加については反対の立場だが、立件民主党は防衛費増加には反対していない。,,不正確,,,,日本
