,フェイクニュースURL,フェイクニュースの媒体,フェイクニュース本文,フェイクニュース作成日付,話題の分野,いいね数,RT（含む引用）,DBへのデータ登録日,フェイクニュースの発信国,評価記事のURL,評価記事の本文,評価記事の日付,判定,判定の根拠①,判定の根拠②,判定の根拠③,評価記事作成国
1,https://twitter.com/Iwanamishoten/status/1463326508068524035?s=20&t=qilqO-b7mu9COaqm2pZopA,Twitter,"アインシュタインが一般相対性理論の構想時に残した直筆のメモが、パリで競売に掛けられ、1160万ユーロ（約15億円）で落札されたそうです。20世紀を変えた54ページの歴史的文書に、天文学的な値がつきました。
完成稿は660円（電子書籍）でお読みいただけますよ。? http://iwnm.jp/339341",2021/11/24,暮らし,554,220,2020/10/4,日本,https://infact.press/2021/12/post-14953/,アインシュタインが一般相対性理論の構想時に残した直筆のメモが約15億円で落札された。これに関して岩波書店がツイートで「 完成稿は（岩波文庫で）660円（電子書籍）で読めます」としたが、これは誤りだ。指摘を受けて岩波文庫は訂正した。,2021/12/24,誤り,"InFactが岩波書店に問い合わせを行ったところ、岩波書店から以下の回答があった。

「特殊相対性理論（1905年）発表時のメモと勘違いして岩波文庫『相対性理論』を紹介いたしましたが、正しくは一般相対性理論（1915年）発表時のメモでした。したがって、ツイート内容（（特殊相対性理論を収録した）岩波文庫で完成稿が読める）は正しくないことになります」

岩波書店はその後、速やかにTwitterにて訂正を出している。",https://twitter.com/Iwanamishoten/status/1470267998699425794?s=20&t=qilqO-b7mu9COaqm2pZopA,,日本
2,https://twitter.com/meshi/status/1455299675083345922?s=20&t=h4bOvoXwnkzSmhUgPUrMew,Twitter,え！？TOKYOワクションに約5800人も申請していることに衝撃…。 LINE友達追加はしたけれど、『LINE』に本人確認書類を登録するとか、怖過ぎてできないよ…。日本大丈夫か？？せめて、COCOA活用すれば良いのに。それでも私は本人確認書類登録まではしないだろうけど← #TOKYOワクション #COCOA,2021/11/2,暮らし,31,10,2022/10/4,日本,https://infact.press/2021/12/post-15030/,ワクチン接種証明を登録するアプリ『TOKYOワクション』について、「LINEに本人確認書類を登録」とする発信がツイッター上であった。これについてLINEは否定している。その説明を信じるだけの明確な根拠は無いが、少なくとも「LINEに本人確認書類を登録」と断定できる根拠は無い。,2021/12/30,根拠不明,"「本キャンペーンは、東京都が主催します。LINE株式会社が主催ではありません。 本キャンペーンは、LINE株式会社が提供する「LINEで応募」を利用しています。そのため、「LINEで応募」のサービス提供に必要な本キャンペーンへの参加状況等（アップロードいただいた「本人確認書類」「新型コロナワクチンの接種記録」は含みません。）をLINE株式会社が取得します。」

つまり、LINE「サービス提供に必要な本キャンペーンへの参加状況等をLINE株式会社が取得」するということだが、ツイートにある「本人確認書類」はそこに含まれない、つまりLINEが取得することは無いとなっている。",https://login.tokyo-vaction.jp/top/terms,,日本
3,https://twitter.com/ishiitakaaki/status/1390941775867498497?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1390941775867498497%7Ctwgr%5Ef4edc4c467b944b8fb275f36c5f847492509c4a7%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Finfact.press%2F2021%2F05%2Fpost-12159%2F,Twitter,"蓮舫がベストマザー賞って笑えたのだが、ググると、この団体の特別顧問が蓮舫だそうです。あまりの幼稚さに、豆腐の角に頭ぶつけて死んでほしい（古い罵り言葉ですが）と思いました。目立てばいいのか。本当にまともな、頑張ってる世の母親たちに失礼だろう
https://best-mother.jp/about/",2021/5/8,暮らし,3384,1579,2022/10/4,日本,https://infact.press/2021/05/post-12159/,ジャーナリストの石井孝明氏が、立憲民主党の参議院議員・蓮舫氏について、「蓮舫がベストマザー賞って笑えたのだが、ググると、この団体の特別顧問が蓮舫だそうです」と投稿。あたかも蓮舫氏が自ら役職を務める団体から賞を与えられたかのような表現だが、実際は蓮舫氏の受賞は過去の出来事で、特別顧問就任はそれよりも後だ。,2021/5/17,ミスリード,"一般社団法人日本マザーズ協会が主催する「ベストマザー賞」は、イベント会場やWeb、SNSなどで行われる一般投票により受賞者を選出。2007年に始まり、第13回（2020年は発表無し）となる今年は政治部門で政治学者の三浦瑠麗氏、スポーツ部門で元バドミントン日本代表の潮田玲子氏など、各分野から計6人が受賞している。しかし、今年の受賞者に蓮舫氏は含まれていない。

石井氏の投稿は本稿執筆現在約1500RT・3500いいねを獲得。その後石井氏は「ベストマザー賞団体の特別顧問の蓮舫さんは、常識あったら辞退するだろう。」と投稿したり、さらに「ああ、失礼、今年じゃないみたいね。蓮舫の受賞は。けどお身内でしょ。」と補足したりしていることから、（少なくとも最初の投稿の時点では）蓮舫氏のベストマザー賞受賞時の特別顧問が蓮舫氏自身だったと理解していたようだ。",https://www.jiji.com/jc/d2?p=reh001-09292867&d=005news,,日本
4,https://twitter.com/kikko_no_blog/status/1354662461220155398?s=20&t=6MK8c6haXMgLMk06zHU0mA,Twitter,生活保護を申請するためには、現金や食料がまったく無いことは当然として、不動産や株などはもちろん車やバイクの保有もダメ、金目の物はすべて売り払ってスッカラカンになった上、支援してくれる血縁者などが1人もいないことを証明しなくてはならない。菅義偉は簡単に言うが結構ハードルが高い。,2021/1/28,暮らし,14000,4467,2022/10/4,日本,https://infact.press/2021/02/post-10242/#01,「生活保護を申請するためには、現金や食料がまったく無いことは当然として、不動産や株などはもちろん車やバイクの保有もダメ、金目の物はすべて売り払ってスッカラカンになった上、支援してくれる血縁者などが1人もいないことを証明しなくてはならない。」などとする投稿。,2021/3/27,誤り,現金や不動産などの資産について、「その資産が現実に最低限度の生活維持のために活用されており、かつ、処分するよりも保有している方が生活維持及び自立の助長に実効があがっているもの」などは保有が認められるとされている（資料p.10、次官通知第3）。つまり、生活に最低限必要と認められる範囲であれば、資産が「まったく無い」「スッカラカン」という状況でなくても受給は可能だ。,https://www.mhlw.go.jp/content/12201000/000604770.pdf,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/seikatuhogo/index.html,日本
5,https://twitter.com/kaze9316/status/1340299876756717568?s=20&t=h4bOvoXwnkzSmhUgPUrMew,Twitter,エジプトに雪…異常気象や…,2020/12/19,暮らし,81000,10000,2022/10/4,日本,https://infact.press/2020/12/post-9982/,"一件エジプトのピラミッドとスフィンクスのように見えるこの写真は、実際は栃木県日光市にあるテーマパーク東武ワールドスクウェアのもの。同園では世界各地の有名建造物などのミニチュア模型が展示されていて、上掲投稿者は「ネタバラシ」としてその名が入ったモニュメントの写真も続けて投稿している。
雪の積もった東武ワールドスクウェアの写真は、2013年にも本物のエジプトのものとして拡散されたことがある（参考）。",2020/12/27,虚偽,https://www.tobuws.co.jp/exhibit/worldheritage/egypt_zone/pyramid_of_khufu.html,,,日本
6,https://twitter.com/K_Link_/status/1335911198609457156?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,"「牡蠣を食べるときは殻に口をつけてズルッとやらず、お箸などで貝柱を外してからパクッと食べた方があたりにくいらしい」という話、あまり知られていないのでご共有しまくりたい。
「細菌の多くは牡蠣の“殻”にいる」と昔三重の漁師さんから教えてもらい、私は一回もあたったことありません。",2020/12/7,暮らし,55000,25000,2022/10/3,日本,https://www.buzzfeed.com/jp/yutochiba/oyster-bacteria,"カキの食べ方「あたりにくい」と不正確な情報拡散。厚労省「それほどリスクは下がりません」

「牡蠣を食べるときは殻に口をつけてズルッとやらず、お箸などで貝柱を外してからパクッと食べた方があたりにくいらしい」という情報が拡散。しかし、専門家は「あたるときはあたります」と指摘している。",2020/12/10,不正確,https://twitter.com/SakamotoFumie/status/1336274266946355201?s=20&t=d0GdXKOaHmvTOtwH6iEAhA,,,日本
7,削除済み,Twitter,このCM観て勇気もらえた。＃NIKE,2020/11/30,暮らし,4199,1369,2022/10/4,日本,https://infact.press/2020/12/post-9873/,"11月28日にナイキジャパンがYouTubeやTwitterの公式アカウントなどで投稿したこのCM動画は、差別問題などを扱った内容が大きな反響を呼び話題となっていた（参照）。
上掲投稿は、アディダスを思わせるアイコンとユーザー名を持つアカウントから行われていて、一見するとアディダスの公式アカウントがライバル企業の動画を称賛しているかのように見える。実際、俳優の宍戸開氏、脳科学者の茂木健一郎氏など、公式のものと誤解していると思われる反応をする人も多数いた。
しかし、このアカウントは普段アディダスとは何ら関係の無い日常的な投稿をしており、公式ではない一般ユーザーの可能性が高い。アディダスの公式アカウントはアディダスジャパンのものなど複数存在しているが、その多くはユーザー名の横にTwitterの公式認証バッジが付されている。",2020/12/17,ミスリード,https://www.j-cast.com/2020/12/01400071.html?p=all,,,
8,https://twitter.com/tv_asahi_news/status/1318129792206606336?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,GoTo事務局で日当7万円　「国民の理解得られぬ」,2020/10/19,暮らし,4728,5638,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/goto-nitto,"GoTo人件費「日当」はミスリード。4万円、7万円は「高額」と批判されるが…
この問題は週刊文春が「大手出向社員に日当4万円」と報じたことから、大きな注目を集めた。その後、テレビ朝日も「日当7万円」と報じている。しかし、そもそもこの金額には社会保険などの諸経費が含まれており、実際に出向者らの給与相当額として派遣元に支払われる額は、その40?50％になる。",2020/10/26,ミスリード,,,,日本
9,https://twitter.com/zuke1018nicodia/status/1314767392031997952?s=20&t=h4bOvoXwnkzSmhUgPUrMew,Twitter,"いまNHKニュースでやってたけど今月20日からアメリカ大統領選挙が終わる来月上旬まで、Twitterのリツイート機能が 全 世 界 で 制 限
されるとのこと。
RTする場合は強制的に引用RTになって何かコメント書かないといけないとのこと。
困ったもんだ。
https://www3.nhk.or.jp/news/html/2020",2020/10/10,暮らし,6891,12000,2022/10/4,日本,https://infact.press/2020/10/post-8863/,"Twitter公式ブログで実際に発表された処置は、10月20日からアメリカ大統領選投票日の週までの間（延長の可能性あり）、ユーザーがリツイート（RT）をしようとするとコメント付きRT（引用RT）を促すような画面が現れる、というもの。ただ、この画面でコメントを入力せず通常のRTを選ぶこともできると説明されていて、「強制的に引用RTになって何かコメント書かないといけない」というのは誤りだ。
NHK記事は当初「ツイッター リツイート機能を一時的に制限へ」という見出しで、RT機能を「全世界で一時的に制限する」などと書かれていた（アーカイブ）。しかし、記事は10日のうちに見出しが「ツイッター リツイート時に慎重な投稿促す対策へ 大統領選前に」と修正され、内容も「（RTの際）利用者自身のコメントを書き込む画面が表示されるようにし、より慎重な投稿を促していく」というように変更されている。",2020/10/31,ミスリード,https://blog.twitter.com/en_us/topics/company/2020/2020-election-changes,,,日本
10,https://twitter.com/sharenewsjapan1/status/1314064225820696577?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,東京新聞「レジ袋有料化も学術会議の提唱がきっかけ」→ ネット『ロクなことしないな』『何の役にも立ってないことを自供』,2020/10/8,暮らし,7667,3779,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/gakujutukaigi3,"学術会議が「レジ袋有料化を提言」は誤り。ネット上で拡散、実際の内容は？
拡散のきっかけになっているのは、東京新聞が10月8日に報じた日本学術会議・大西隆元会長の寄稿だ。しかし、レジ袋の有料化は政府が2018年ごろから進めてきたもので、担当する環境省も学術会議の関与を否定している。",2020/10/13,誤り,"2015年の共同声明以外で、学術会議がこれまで出してきた共同声明や提言などのなかに、「レジ袋の有料化」を政府に求めるようなものは見当たらない。

たとえば、大阪サミットにあわせた「海洋プラスチックごみ」に関する各国アカデミーによる共同声明は2019年に出されている。

ここでは「科学と政策」が協力をすることで、環境親和性のあるプラスチック製品や代替素材の研究開発や、科学的根拠に基づく使い捨てプラスチック仕様の削減やリサイクルなどが必要になると提言しているのみで、「レジ袋有料化」には触れていない。

また、学術会議としては2020年4月に「マイクロプラスチック」に関する提言は出しているが、これはそもそも「レジ袋有料化」が政策として決まったあとのものだ。

レジ袋有料化の検討を進めてきた環境省リサイクル推進室の担当者もBuzzFeed Newsの取材に「直接、学術会議から提言を受けた政策というわけではありません」と、拡散している言説を否定した。",,,日本
