,フェイクニュースURL,フェイクニュースの媒体,フェイクニュース本文,フェイクニュース作成日付,話題の分野,いいね数,RT（含む引用）,DBへのデータ登録日,フェイクニュースの発信国,評価記事のURL,評価記事の本文,評価記事の日付,判定,判定の根拠①,判定の根拠②,判定の根拠③,評価記事作成国
1,"https://twitter.com/hasibiro_maga/status/1573086584525967360
",Twitter,日本へ軍事侵入を準備しているロシアのプーチン大統領は2022年9月21日、国民向けのテレビ演説を行いました。「日本政府がウクライナに軍事支援をしたので反撃を開始する。これはハッタリではない。坪に念仏でも唱えてろ」,2022/9/23,政治,3258,1372,2022/9/30,日本,https://www.buzzfeed.com/jp/keitaaimoto/russia-fc,"NHKは9月22日、演説内容の全文をネット上で公開している。要点は次の通り。
先制的な軍事作戦を行う決定は不可欠。ドンバス全域（ウクライナ東部）解放という作戦の目標は変わっていない。
部分的な動員を支持することが必要。対象は、予備役になっている国民で、とりわけ軍勤務経験者や、一定程度の軍事専門の知識を有する人。
部分的な動員に関する大統領令に署名した。動員措置は9月21日から開始。
領土と一体性が脅かされる場合、ロシアと国民を守るため、保有するあらゆる手段を行使する。これは脅しではない。
核兵器で我々を脅迫しようとする者は、風向きが逆になる可能性があることを知るべきだ。
",2022/9/26,誤り,"プーチン大統領は9月21日、実際に国民向けのテレビ演説を行っているが、その時に話した内容はウクライナに派遣する兵士についてが主だった。
一方、日本に関しては触れておらず、このツイートは「誤り」だ。",,,日本
2,https://www.asahi.com/articles/ASQ9F6QSRQ9FUTFK01K.html?_requesturl=articles%2FASQ9F6QSRQ9FUTFK01K.html&pn=2,デジタル新聞,自民総務会で苦言相次ぐ　国葬や旧統一教会への対応めぐり石破氏ら（有料記事のため本文無し）,2022/9/13,政治,,,2022/9/30,日本,https://infact.press/2022/09/post-20790/,自由民主党の石破茂元幹事長が、安倍晋三元首相の国葬に関し、英国のエリザベス女王の国葬を引き合いに出し、『イギリスも国葬の（国会）議決をとっている』との発言をした。しかし、英国議会に直接確認したところ、エリザベス女王の国葬に関し、議会の議決がなされた事実はなかった。,2022/9/17,誤り,英国において、国葬の際に国会の議決が必要とされているのは、君主以外の者の国葬が行われる場合であり、君主の国葬が行われる場合ではない。実際に英国議会に確認したところ、エリザベス女王の国葬について国会の議決や動議がなされた事実は存在しない、との回答であった。,,,日本
3,"https://twitter.com/myan62/status/1516439718610628611
",Twitter,自民党が次の参院選で大勝したら「殆ど社会保障関係に使われていない消費税を更に19%に増税する」と岸田文雄首相が言っていますが私は断固として消費税増税はお断りします。,2022/8/20,政治,16500,7840,2022/9/30,日本,https://infact.press/category/factcheck/,,,,,,,日本
4,https://twitter.com/kissan39/status/1538177903061479424,Twitter,"吉村 大阪府知事
長野駅前の街宣らしいです。
わたしゃ、後にも先にも、ポケット手をつっこんだまま街宣すると言う国民・県民・市民を舐めきった人ははじめてですわ。",2022/7/19,政治,7199,4609,2022/9/30,日本,https://infact.press/2022/07/post-20415/,"Twitter で、「6 月 18 日の街頭演説会で、吉村大阪府知事が、ポケットに手をつっこんだま
ま街宣しており、国民・県民・市民を舐めきっている」というツイートと画像が拡散したが、
このツイートはミスリードだ。",2022/7/9,ミスリード,17秒間しかポケットに手を入れていた可能性がないため,,,日本
5,https://twitter.com/hosono_54/status/1538322939925643265,Twitter,参議院選挙直前の週末、政党間の討論内容を確認。防衛費の増加については立憲、共産、社民のいわゆるリベラル政党が反対の立場。国防費の大幅増を打ち出したドイツのシュルツ首相は社会民主党。安全保障環境が激変している中で、なぜ日本のリベラル政党は変われないのか。,2022/7/19,政治,2630,735,2022/9/30,日本,https://infact.press/2022/07/post-20417/,自民党の細野豪志衆議院議員が自身のTwitterで、「防衛費の増加については立憲、共産、社民のいわゆるリベラル政党が反対の立場」と発言した。しかし、共産党、社民党は防衛費増加については反対の立場だが、立憲民主党は必ずしも反対しておらず、この発言は不正確だ。,2022/7/8,不正確,共産党、社会民主党は防衛費増加については反対の立場だが、立憲民主党は防衛費増加には反対していないため。,,,日本
6,https://twitter.com/rzSHEDpNsIO9ZXI/status/1532052789303853057,Twitter,自民党の河野太郎、敵の党の立憲民主党の辻元清美の決起大会に出て、応援している。河野太郎は売国奴だ。自民党は河野太郎を敵対行為として、除名処分しろ,2022/7/2,政治,4689,3052,2022/9/30,日本,https://infact.press/2022/07/post-20302/,自民党の河野太郎議員が、立憲民主党から参院選に出馬している辻元清美候補の決起大会に参加したとするツイートが拡散した。しかし、そうした事実は無く、これは誤りだ,2022/7/5,誤り,画像は5年前の産経新聞記事に掲載されていたものであり、今回とは無関係のパーティーの写真を使用しているため。,,,日本
7,https://twitter.com/tweetsoku1/status/1542845475661189120,Twitter,【速報】岸田首相が大激怒！ロシアによるサハリン2の件で「戦争も辞さない。徹底的にやる」,2022/7/1,政治,1160,642,2022/9/30,日本,https://infact.press/2022/07/post-20440/,岸田首相がロシアに対して「戦争も辞さない。徹底的にやる」と発言したとの情報が拡散した。しかし、これは虚偽情報だ。,2022/7/10,虚偽,記事の本文と見出しが一致しないため（岸田総理が発言したと書いていない）,,,日本
8,https://twitter.com/tweetsoku1/status/1542845475661189120?s=20&t=-MdijJgLFrY2k9eO-hc0_Q,Twitter,【速報】岸田首相が大激怒！ロシアによるサハリン２の件で「戦争も辞さない。徹底的にやる」,2022/7/1,政治,1160,642,2022/9/30,日本,https://infact.press/category/factcheck/,根拠とされた記事にはそうした発言は書かれていない。また、首相会見を確認しても、「戦争も辞さない。徹底的にやる」との発言は見当たらない。加えて、サイトは問い合わせに応じていない。,2022/7/10,虚偽,該当記事にそのような発言はない,,,日本
9,"https://twitter.com/sharenewsjapan1
",Twitter,どーすんのこれ...　【悲報】岸田首相、総裁選での公約を全部削除,2022/6/26,政治,60000,28447,2022/10/3,日本,"https://www.buzzfeed.com/jp/kotahatachi/jimin-political-promise-fc
",これは2021年10月の衆議院選挙当時の報道を流用したものであり、今回の参院選に関するものではない。状況には変化もあることから、「ミスリード」な情報といえる。,2022/7/1,ミスリード,今回の参院選に関するものではない。,,,日本
10,"https://twitter.com/hosono_54/status/1538322939925643265?s=20&t=QK2qcPFlYTLtC7WIKQmxsg
",Twitter,参議院選挙直前の週末、政党間の討論内容を確認。防御費の増加については立件、共産、社民のいわゆるリベラル政党が反対の立場。国防費の大幅増を打つ出したドイツのシュルツ種層は社会民主党。安全保障環境が激変している中で、なぜ日本のリベラル政党は変われないのか。,2022/6/19,政治,2660,744,2022/9/30,日本,https://infact.press/category/factcheck/,共産党、社会民主党は防衛費増加については反対の立場だが、立件民主党は防衛費増加には反対していない。,,不正確,,,,日本
